No.,Lokasi,tanggal,Minyak_Goreng_Kemasan,Minyak_Goreng_Curah,Kelapa_Sawit
214,Jawa Timur,11/20/2022,16.56,14.22,1855
215,Jawa Timur,11/21/2022,16.69,14.3,1810
216,Jawa Timur,11/22/2022,16.67,14.19,1833
217,Jawa Timur,11/23/2022,16.52,14.28,1847
218,Jawa Timur,11/24/2022,16.6,14.32,1831
219,Jawa Timur,11/25/2022,16.82,14.49,1807
220,Jawa Timur,11/26/2022,16.58,14.32,1869
221,Jawa Timur,11/27/2022,16.69,14.26,1860
222,Jawa Timur,11/28/2022,16.71,14.4,1805
223,Jawa Timur,11/29/2022,16.59,14.54,1835
224,Jawa Timur,11/30/2022,16.51,14.77,1841
225,Jawa Timur,12/1/2022,16.87,14.76,1855
226,Jawa Timur,12/2/2022,16.44,14.63,1845
227,Jawa Timur,12/3/2022,16.67,14.72,1873
228,Jawa Timur,12/4/2022,16.62,14.77,1854
229,Jawa Timur,12/5/2022,16.9,14.87,1839
230,Jawa Timur,12/6/2022,16.79,14.99,1828
231,Jawa Timur,12/7/2022,16.98,15.04,1829
232,Jawa Timur,12/8/2022,16.66,14.92,1823
233,Jawa Timur,12/9/2022,16.67,14.89,1812
234,Jawa Timur,12/10/2022,16.79,15.21,1827
235,Jawa Timur,12/11/2022,16.95,15.09,1823
236,Jawa Timur,12/12/2022,16.88,15.29,1814
237,Jawa Timur,12/13/2022,16.73,14.94,1808
238,Jawa Timur,12/14/2022,16.65,15.16,1803
239,Jawa Timur,12/15/2022,16.7,15.05,1810
240,Jawa Timur,12/16/2022,16.76,15.36,1805
241,Jawa Timur,12/17/2022,16.88,15.31,1819
242,Jawa Timur,12/18/2022,16.87,15.12,1807
243,Jawa Timur,12/19/2022,16.85,15.28,1823
244,Jawa Timur,12/20/2022,16.76,15.21,1822
245,Jawa Timur,12/21/2022,16.84,15.34,1825
246,Jawa Timur,12/22/2022,16.91,15.31,1811
247,Jawa Timur,12/23/2022,16.68,15.28,1819
248,Jawa Timur,12/24/2022,16.9,15.14,1820
249,Jawa Timur,12/25/2022,16.73,15.39,1824
250,Jawa Timur,12/26/2022,16.7,15.23,1821
251,Jawa Timur,12/27/2022,16.71,15.28,1824
252,Jawa Timur,12/28/2022,16.57,15.24,1831
253,Jawa Timur,12/29/2022,17.33,15.25,1835
254,Jawa Timur,12/30/2022,16.66,15.38,1842
255,Jawa Timur,12/31/2022,16.89,15.33,1843
256,Jawa Timur,1/1/2023,16.82,15.25,1844
257,Jawa Timur,1/2/2023,16.83,15.11,1989
258,Jawa Timur,1/3/2023,16.59,15.24,1798
259,Jawa Timur,1/4/2023,16.86,15,1828
260,Jawa Timur,1/5/2023,17.13,15,1852
261,Jawa Timur,1/6/2023,17.18,15.29,1784
262,Jawa Timur,1/7/2023,17.2,15.14,1831
263,Jawa Timur,1/8/2023,17.09,14.94,1835
264,Jawa Timur,1/9/2023,17.22,15.15,1827
265,Jawa Timur,1/10/2023,16.83,15.03,1837
266,Jawa Timur,1/11/2023,16.95,14.98,1820
267,Jawa Timur,1/12/2023,17.12,15.08,1853
268,Jawa Timur,1/13/2023,16.98,15.29,1807
269,Jawa Timur,1/14/2023,16.8,14.99,1830
270,Jawa Timur,1/15/2023,17.14,15.26,1827
271,Jawa Timur,1/16/2023,16.96,15.35,1816
272,Jawa Timur,1/17/2023,16.8,15.23,1822
273,Jawa Timur,1/18/2023,16.66,15.11,1812
274,Jawa Timur,1/19/2023,16.88,15.17,1846
275,Jawa Timur,1/20/2023,16.81,15.31,1799
276,Jawa Timur,1/21/2023,16.97,14.89,2273
277,Jawa Timur,1/22/2023,16.93,15.05,1826
278,Jawa Timur,1/23/2023,17.02,15.06,1845
279,Jawa Timur,1/24/2023,17.19,15.09,1816
280,Jawa Timur,1/25/2023,17.27,15.03,1804
281,Jawa Timur,1/26/2023,17.15,15.24,1830
282,Jawa Timur,1/27/2023,16.96,15.39,1788
283,Jawa Timur,1/28/2023,17.14,15.15,1810
284,Jawa Timur,1/29/2023,16.95,15.19,1809
285,Jawa Timur,1/30/2023,17.17,15.3,1827
286,Jawa Timur,1/31/2023,17.11,15.24,1840
287,Jawa Timur,2/1/2023,17.24,15.31,1863
288,Jawa Timur,2/2/2023,17.28,15.17,1838
289,Jawa Timur,2/3/2023,17.35,15.48,1846
290,Jawa Timur,2/4/2023,17.49,15.44,1834
291,Jawa Timur,2/5/2023,17.34,15.27,1833
292,Jawa Timur,2/6/2023,17.33,15.38,1827
293,Jawa Timur,2/7/2023,17.37,15.31,1831
294,Jawa Timur,2/8/2023,17.31,15.28,1830
295,Jawa Timur,2/9/2023,17.27,15.34,1837
296,Jawa Timur,2/10/2023,17.2,15.23,1839
297,Jawa Timur,2/11/2023,17.16,15.31,1849
298,Jawa Timur,2/12/2023,17.14,15.2,1851
299,Jawa Timur,2/13/2023,17.25,15.24,1852
300,Jawa Timur,2/14/2023,17.23,15.21,1860
301,Jawa Timur,2/15/2023,17.25,15.09,1867
302,Jawa Timur,2/16/2023,17.13,15.17,1868
303,Jawa Timur,2/17/2023,17.1,15.12,1874
304,Jawa Timur,2/18/2023,17.23,15.19,1874
305,Jawa Timur,2/19/2023,17.02,15.12,1872
306,Jawa Timur,2/20/2023,17.16,15.1,1919
307,Jawa Timur,2/21/2023,17.06,15.05,1894
308,Jawa Timur,2/22/2023,17.12,15.09,1918
309,Jawa Timur,2/23/2023,17.12,15.06,1921
310,Jawa Timur,2/24/2023,17.11,15.08,1920
311,Jawa Timur,2/25/2023,17.26,15,1928
312,Jawa Timur,2/26/2023,17.13,15.11,1930
313,Jawa Timur,2/27/2023,17.01,15.03,1945
314,Jawa Timur,2/28/2023,17.03,15.1,1940
315,Jawa Timur,3/1/2023,16.87,15.09,2057
316,Jawa Timur,3/2/2023,17.2,15.21,2028
317,Jawa Timur,3/3/2023,17.07,15.08,2133
318,Jawa Timur,3/4/2023,17.05,15.09,1961
319,Jawa Timur,3/5/2023,17.22,15.18,1966
320,Jawa Timur,3/6/2023,17.26,15.15,1973
321,Jawa Timur,3/7/2023,17.2,15.23,1971
322,Jawa Timur,3/8/2023,17.11,15.24,1954
323,Jawa Timur,3/9/2023,17.13,15.25,1991
324,Jawa Timur,3/10/2023,17.14,15.21,1983
325,Jawa Timur,3/11/2023,17.07,15.03,1986
326,Jawa Timur,3/12/2023,17.28,15.12,1997
327,Jawa Timur,3/13/2023,17.21,15.11,2025
328,Jawa Timur,3/14/2023,17.28,15.16,2015
329,Jawa Timur,3/15/2023,17.25,15.23,2006
330,Jawa Timur,3/16/2023,17.07,15.17,2016
331,Jawa Timur,3/17/2023,17.2,15.2,1999
332,Jawa Timur,3/18/2023,16.9,15.01,1985
333,Jawa Timur,3/19/2023,17.16,15.27,2006
